train_loss,train_AUC,train_CC,train_NSS,train_KLDiv,train_SIM,test_loss,test_AUC,test_CC,test_NSS,test_KLDiv,test_SIM
0.4350418,0.8740735,0.72560126,0.7355903,0.4350418,0.64907,0.41929647,0.8716435,0.74580616,0.7177072,0.41929647,0.6660456
0.32898048,0.8806964,0.806227,0.78539526,0.32898048,0.6995938,0.38513947,0.8714902,0.7692345,0.7107033,0.38513947,0.67292607
0.26307067,0.88498724,0.85448915,0.80972046,0.26307067,0.73828214,0.4018434,0.87505007,0.7615447,0.6954993,0.4018434,0.66448265
0.21426521,0.88367474,0.8874794,0.8208725,0.21426521,0.7686509,0.39798352,0.8732747,0.7611783,0.6955945,0.39798352,0.6642622
0.18055324,0.8820387,0.90928113,0.8263067,0.18055324,0.79105216,0.41196495,0.86446023,0.74304193,0.6897187,0.41196495,0.65951556
