train_loss,train_AUC,train_CC,train_NSS,train_KLDiv,train_SIM,test_loss,test_AUC,test_CC,test_NSS,test_KLDiv,test_SIM
0.12976669,0.9200587,0.88230765,0.76898175,0.12976669,0.8118163,0.13252859,0.9258244,0.8545381,0.7260262,0.13252859,0.80779374
0.11861707,0.922869,0.89662826,0.7797431,0.11861707,0.8216209,0.1315455,0.9267859,0.85848397,0.7302522,0.1315455,0.8091595
0.10909971,0.925012,0.90831643,0.78674823,0.10909971,0.83042914,0.13354875,0.9307745,0.85595334,0.73516095,0.13354875,0.80793405
0.10111598,0.9269381,0.9181434,0.79315454,0.10111598,0.8382506,0.13863406,0.9299504,0.8516135,0.7230594,0.13863406,0.804092
0.09435904,0.92972094,0.9258029,0.79548013,0.09435904,0.8449436,0.14372084,0.9308628,0.84638095,0.72184545,0.14372084,0.7993543
