train_loss,train_AUC,train_CC,train_NSS,train_KLDiv,train_SIM,test_loss,test_AUC,test_CC,test_NSS,test_KLDiv,test_SIM
0.49141514,0.79312515,0.43957525,0.37707227,0.49141514,0.61267686,0.40660554,0.8518539,0.50144905,0.41366202,0.40660554,0.65201116
0.35818562,0.87702787,0.602468,0.51404405,0.35818562,0.670624,0.26325116,0.8215333,0.6922543,0.5721456,0.26325116,0.7216082
0.20580836,0.88653904,0.7853625,0.69320875,0.20580836,0.7557695,0.15404744,0.9041308,0.82346785,0.69691235,0.15404744,0.79047966
