train_loss,train_AUC,train_CC,train_NSS,train_KLDiv,train_SIM,test_loss,test_AUC,test_CC,test_NSS,test_KLDiv,test_SIM
0.4300028,0.8754547,0.730917,0.7420024,0.4300028,0.650895,0.43242627,0.87506235,0.7288926,0.7194641,0.43242627,0.6559558
0.32825127,0.8811052,0.80659044,0.78219825,0.32825127,0.7005288,0.40409285,0.87476534,0.76403415,0.7054887,0.40409285,0.6677594
0.26346734,0.8828597,0.8556282,0.80844873,0.26346734,0.7377271,0.41101712,0.8728875,0.7534398,0.69062024,0.41101712,0.6580842
0.21292296,0.88444734,0.8885482,0.82462364,0.21292296,0.7695484,0.40209937,0.8633353,0.75291216,0.69254124,0.40209937,0.66304463
