train_loss,train_AUC,train_CC,train_NSS,train_KLDiv,train_SIM,test_loss,test_AUC,test_CC,test_NSS,test_KLDiv,test_SIM
0.49323428,0.7933709,0.43676457,0.37559557,0.49323428,0.6119409,0.40625104,0.8620904,0.49731693,0.4081225,0.40625104,0.65218276
0.35719737,0.8808731,0.6030625,0.51554537,0.35719737,0.671269,0.26229706,0.8258531,0.69319224,0.57041615,0.26229706,0.72200274
0.20255375,0.8887505,0.7889707,0.6960398,0.20255375,0.757786,0.15128982,0.9027301,0.82968247,0.7123525,0.15128982,0.7929778
0.15761505,0.90849996,0.8465125,0.7417087,0.15761505,0.7892071,0.13893688,0.9175328,0.84716195,0.7269885,0.13893688,0.80296135
