train_loss,train_AUC,train_CC,train_NSS,train_KLDiv,train_SIM,test_loss,test_AUC,test_CC,test_NSS,test_KLDiv,test_SIM
0.49435142,0.7899513,0.43611315,0.3742421,0.49435142,0.61183286,0.41814545,0.8428967,0.5074313,0.41494274,0.41814545,0.64922196
0.35777315,0.87742096,0.6023798,0.5142995,0.35777315,0.6709009,0.26749748,0.81395817,0.6861021,0.56327575,0.26749748,0.71965194
0.20528059,0.8856615,0.78608227,0.692697,0.20528059,0.7561386,0.16157876,0.89446074,0.8181544,0.6967356,0.16157876,0.78579634
