train_loss,train_AUC,train_CC,train_NSS,train_KLDiv,train_SIM,test_loss,test_AUC,test_CC,test_NSS,test_KLDiv,test_SIM
0.12996396,0.91995233,0.8820324,0.7690119,0.12996396,0.8116269,0.1306263,0.92751735,0.85719174,0.7321484,0.1306263,0.8091384
0.11898261,0.9237538,0.8959148,0.77863175,0.11898261,0.82122004,0.13435991,0.9275623,0.85722303,0.7269091,0.13435991,0.807621
0.10925506,0.9264219,0.90800977,0.78709507,0.10925506,0.8302275,0.1313066,0.9334406,0.85689706,0.730107,0.1313066,0.8089919
0.10124654,0.9283884,0.9179068,0.79309607,0.10124654,0.8380024,0.1372929,0.9293533,0.855701,0.71881616,0.1372929,0.8055068
0.09410018,0.9305726,0.9263539,0.7966769,0.09410018,0.8452914,0.13897628,0.932986,0.85283685,0.7171366,0.13897628,0.80406064
